rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-adult17/ses-001	2.874	2.586	2.573	2.005	4.351	3.138	2.464	3.149	2.771	2.391	2.729	2.166	2.458	3.34	3.139	2.674	2.962	3.103	2.81	1.756	2.015	2.795	2.868	2.499	2.94	2.36	3.134	2.098	3.105	2.588	3.218	4.281	2.984	3.505	2.68467	1700012.0	2218313.222503
sub-adult18/ses-001	2.979	2.397	2.406	2.014	3.428	2.966	2.683	2.852	2.384	2.419	2.348	2.382	2.617	3.057	3.06	2.158	2.306	2.821	2.344	1.737	1.898	2.259	2.672	2.357	2.805	2.22	2.674	2.172	2.679	2.379	2.099	3.566	1.925	3.132	2.50391	1540188.0	2056000.455998
sub-adult19/ses-001	2.752	2.471	2.244	1.833	3.641	3.016	2.634	3.16	2.54	2.436	2.402	2.247	2.391	3.12	3.3	2.634	2.556	2.687	2.275	1.487	1.973	2.705	2.732	2.455	2.807	2.291	2.826	2.258	3.041	2.468	2.818	4.038	2.172	3.137	2.5799	1621294.0	2147816.854613
sub-adult20/ses-001	2.68	2.365	2.565	1.881	2.701	2.523	2.321	2.892	2.477	2.138	2.24	2.009	2.342	3.069	2.228	2.351	2.693	2.571	2.496	1.511	1.918	2.353	2.363	2.408	2.347	2.344	2.853	2.168	2.721	2.474	2.824	4.01	1.968	3.168	2.43934	1497950.0	1842940.55588
sub-adult21/ses-001	2.617	2.708	2.472	2.084	3.888	2.892	2.411	2.909	2.392	2.366	2.714	2.202	2.401	3.166	2.514	2.575	2.54	2.357	2.305	1.617	1.985	2.406	2.656	2.406	2.768	2.335	2.747	2.104	2.979	2.583	2.931	3.918	2.363	3.191	2.53202	1606586.0	2184246.325566
sub-child01/ses-001	2.987	2.523	2.572	2.393	3.723	3.224	3.098	3.075	2.75	2.732	2.557	2.469	2.379	3.213	2.573	2.469	2.503	2.861	2.765	1.717	2.286	2.624	2.496	2.799	2.401	2.469	2.806	2.497	3.204	2.897	2.918	3.502	3.095	3.372	2.74513	2020198.0	2354297.412273
sub-child02/ses-001	3.009	2.823	2.609	2.257	3.723	3.202	2.953	3.188	2.702	2.768	3.025	2.439	2.685	3.336	2.971	2.781	2.574	3.525	2.572	1.738	2.5	2.637	2.549	2.767	2.884	2.651	3.004	2.493	3.477	2.77	3.44	4.019	2.677	3.556	2.84498	1990537.0	2389116.189806
sub-child03/ses-001	3.269	2.884	2.71	2.279	3.544	3.177	2.998	3.28	2.92	2.652	2.984	2.458	2.649	3.547	3.24	2.697	3.021	3.254	2.9	1.934	2.323	2.849	2.835	2.758	3.133	2.664	3.131	2.545	3.608	3.031	3.308	4.273	3.485	3.764	2.91474	1951300.0	2313351.296735
sub-child04/ses-001	3.139	2.57	2.667	2.205	3.507	3.157	2.778	3.072	2.782	2.693	2.91	2.405	2.363	3.394	2.876	2.851	2.796	2.721	2.764	1.937	2.382	2.591	2.893	2.698	2.525	2.278	2.688	2.46	3.505	2.869	2.766	3.529	3.299	3.475	2.78095	2003013.0	2369575.225596
sub-child05/ses-001	2.913	2.546	2.838	1.983	3.899	2.776	2.656	3.086	2.583	2.37	3.007	2.164	2.505	3.308	2.926	2.792	3.086	3.275	2.936	1.573	2.322	2.803	2.832	2.627	2.675	2.426	2.93	2.38	3.24	2.683	3.013	3.853	2.599	3.65	2.74422	1902921.0	2349616.495735
sub-child06/ses-001	2.759	2.217	2.564	2.172	3.154	2.883	2.756	2.98	2.977	2.92	2.702	2.229	2.61	3.209	2.858	2.553	2.91	2.853	2.559	1.837	2.256	2.777	2.725	2.634	2.697	2.487	2.88	2.514	3.332	2.781	3.223	2.735	3.154	3.411	2.73751	1941378.0	2341781.862763
sub-child07/ses-001	2.655	3.036	2.509	2.157	3.199	2.85	2.842	3.109	2.666	2.555	2.974	2.176	2.917	3.269	2.7	2.62	2.574	2.752	2.488	1.891	2.322	2.593	2.554	2.618	2.776	2.455	2.89	2.402	3.231	2.726	3.539	3.321	2.566	3.455	2.71774	2006148.0	2343824.445911
sub-child08/ses-001	2.972	2.612	2.479	2.199	3.649	2.78	2.907	3.177	2.741	2.585	2.764	2.407	2.545	3.455	2.829	3.055	3.056	2.719	2.671	1.875	2.296	2.633	2.625	2.849	2.734	2.407	2.913	2.47	3.267	2.763	2.888	4.343	2.777	3.477	2.7717	1949576.0	2401363.236451
sub-child09/ses-001	3.081	2.849	3.028	2.214	3.655	3.117	2.948	3.321	3.062	2.694	2.955	2.328	2.555	3.384	2.695	2.968	2.993	2.881	2.949	1.658	2.379	2.977	2.893	2.76	3.043	2.743	3.306	2.661	3.433	3.058	3.277	4.187	3.091	3.669	2.92813	1999863.0	2318859.936825
sub-child10/ses-001	2.886	2.937	2.623	2.065	3.259	3.026	2.844	3.169	2.517	2.638	3.05	2.374	2.557	3.477	3.193	3.15	2.706	3.33	3.058	1.542	2.295	2.675	2.868	2.88	3.216	2.578	3.192	2.559	3.455	3.013	3.6	4.017	2.659	3.514	2.87344	1968374.0	2290948.911386
sub-child11/ses-001	2.603	2.798	2.851	2.282	3.738	2.996	2.748	3.211	2.488	2.72	2.656	2.272	2.665	3.386	3.444	2.62	2.993	2.962	2.815	1.788	2.302	2.639	2.835	2.57	3.161	2.663	2.943	2.447	3.154	2.888	3.277	3.403	3.085	3.558	2.78873	1921000.0	2306555.541865
sub-child12/ses-001	2.673	2.391	2.57	2.196	3.44	2.728	2.624	2.676	2.321	2.409	2.5	2.165	2.474	3.063	2.494	2.637	2.763	3.012	2.706	1.814	2.146	2.559	2.601	2.465	2.781	2.381	2.889	2.32	2.596	2.501	2.905	2.644	2.324	3.178	2.55788	1718998.0	2234995.108124
